NO.,Name,Type,Description,Voltage,,,,,
1,AGND,,Ground,connections,,,,,
2,WL_BT_ANT,I/O,RF I/O port,,,,,,
3,AGND,,Ground,connections,,,,,
4,NC,,Floating,(NC),,,,,
5,NC,,Floating,(NC),,,,,
6,HOST_WAKE_BT,I,Host to wake up Bluetooth device,VDDIO,,,,,
7,BT_WAKE_HOST,O,Bluetooth device to wake up host. (muti function for Test mode configuration. pull high to test mode ; pull low to normal mode .when wifi power on this pin must keep low),VDDIO,,,,,
8,NC,,Floating,(NC),,,,,
9,VBAT_IN,P,3.3Â±10% V Main power voltage sourceinput,3.3V,,,,,
10,NC,,Floating,(NC),,,,,
11,NC,,Floating,(NC),,,,,
12,WL_DIS#,I,Pull high: ON , Pull low: OFF External pull low can disable WL,3.3V,,,,
13,WL_HOST_WAKE,O,WLAN to wake up HOST,VDDIO,,,,,
14,SD_D2,I/O,SDIO data line 2,,,,,,
15,SD_D3,I/O,SDIO data line 3,,,,,,
16,SD_CMD,I/O,SDIO command line,,,,,,
17,SD_CLK,I,SDIO clock line,,,,,,
18,SD_D0,I/O,SDIO data line 0,,,,,,
19,SD_D1,I/O,SDIO data line 1,,,,,,
20,AGND,,Ground,,,,,,
21,NC,,Floating,,,,,,
22,VDDIO,P,I/O Voltage supply input,VDDIO,,,,,
23,NC,,Floating,(NC),,,,,
24,SUSCLK_IN,I,External Clock input(32.768kHz). Can keep NC.,,,,,,
25,PCM_OUT,O,PCM Output,VDDIO,,,,,
26,PCM_CLK,I/O,PCM Clock,VDDIO,,,,,
27,PCM_IN,I,PCM Input,VDDIO,,,,,
28,PCM_SYNC,O,PCM Sync,VDDIO,,,,,
29,NC,,Floating,(NC),,,,,
30,MAIN_XTAL_IN,O,Floating (NC),,,,,,
31,AGND,,Ground,connections,,,,,
32,NC,,Floating,(NC),,,,,
33,AGND,,Ground,connections,,,,,
34,BT_DIS#,I,Pull high: ON , Pull low: OFF External pull low can disable BT,3.3V,,,,
35,NC,,Floating,(NC),,,,,
36,AGND,,Ground,connections,,,,,
37,NC,,Floating,(NC),,,,,
38,NC,,Floating,(NC),,,,,
39,NC,,Floating,(NC),,,,,
40,NC,,Floating,(NC),,,,,
41,UART_RTS,,UART RTS, module side is Ground connections,,,,,
42,UART_OUT,O,UART Output,VDDIO,,,,,
43,UART_IN,I,UART Input,VDDIO,,,,,
44,UART_CTS,I,UART CTS,VDDIO,,,,,
45,AGND,,Floating,(NC),,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,